IdPanel	buyyop	buydan	buyhil	buywwt	featyop	featdan	feathil	featwwt	pyop	pdan	phil	pwwt					
1	0	0	0	1	0	0	0	0	0.108	0.081	0.061000001	0.079000004					
1	0	1	0	0	0	0	0	0	0.108	0.097999997	0.064000003	0.075000003					
1	0	1	0	0	0	0	0	0	0.108	0.097999997	0.061000001	0.086000003					
1	0	1	0	0	0	0	0	0	0.108	0.097999997	0.061000001	0.086000003					
1	0	1	0	0	0	0	0	0	0.125	0.097999997	0.048999999	0.079000004					
1	0	1	0	0	0	0	0	0	0.108	0.092	0.050000001	0.079000004					
1	0	1	0	0	0	0	0	0	0.103	0.081	0.048999999	0.079000004					
1	0	0	0	1	0	0	0	0	0.108	0.086000003	0.054000001	0.079000004					
2	1	0	0	0	0	0	0	0	0.108	0.097999997	0.050000001	0.079000004					
2	1	0	0	0	0	0	0	0	0.108	0.097999997	0.050000001	0.079000004					
2	1	0	0	0	0	0	0	0	0.108	0.097999997	0.050000001	0.079000004					
2	1	0	0	0	0	0	0	0	0.108	0.097999997	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.086000003					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.086000003					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.081					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.081					
2	0	0	0	1	0	0	0	0	0.112	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.112	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.112	0.081	0.050000001	0.079000004					
2	0	0	0	1	0	0	0	0	0.108	0.081	0.050000001	0.081					
3	0	1	0	0	0	0	0	0	0.11	0.048999999	0.061000001	0.079000004					
3	0	1	0	0	0	0	0	0	0.103	0.044	0.048999999	0.079000004					
3	0	1	0	0	0	0	0	0	0.103	0.044	0.048999999	0.079000004					
3	1	0	0	0	0	0	0	0	0.032000002	0.094999999	0.057999998	0.103					
3	1	0	0	0	0	0	0	0	0.108	0.094999999	0.057999998	0.103					
3	1	0	0	0	0	0	0	0	0.108	0.094999999	0.057999998	0.103					
3	1	0	0	0	0	0	0	0	0.055	0.086000003	0.054000001	0.079000004					
3	1	0	0	0	0	0	0	0	0.082999997	0.086000003	0.054000001	0.079000004					
3	1	0	0	0	0	0	0	0	0.082999997	0.086000003	0.054000001	0.079000004					
3	1	0	0	0	0	0	0	1	0.115	0.086000003	0.056000002	0.063000001					
3	1	0	0	0	0	0	0	1	0.032000002	0.086000003	0.056000002	0.063000001					
3	0	0	0	1	0	0	0	1	0.115	0.086000003	0.061000001	0.063000001					
3	0	1	0	0	0	0	0	0	0.115	0.055	0.061000001	0.064000003					
3	0	1	0	0	0	0	1	0	0.115	0.063000001	0.061000001	0.079000004					
3	0	1	0	0	0	0	0	1	0.041999999	0.030999999	0.061000001	0.063000001					
4	0	0	1	0	0	0	0	0	0.11	0.081	0.066	0.079000004					
4	0	0	1	0	0	0	0	0	0.11	0.081	0.066	0.079000004					
4	0	1	0	0	0	0	0	0	0.13500001	0.081	0.066	0.079000004					
4	0	1	0	0	0	0	0	0	0.13500001	0.081	0.066	0.079000004					
4	0	0	1	0	0	0	0	0	0.11	0.081	0.061000001	0.079000004					
4	0	0	1	0	0	0	0	0	0.11	0.081	0.061000001	0.079000004					
4	0	0	1	0	0	0	0	0	0.103	0.081	0.048999999	0.079000004					
4	0	1	0	0	0	0	0	0	0.108	0.086000003	0.050000001	0.079000004					
4	0	1	0	0	0	0	1	0	0.112	0.086000003	0.061000001	0.079000004					
4	1	0	0	0	0	0	0	0	0.025	0.086000003	0.054000001	0.079000004					
4	1	0	0	0	0	0	1	0	0.057999998	0.086000003	0.025	0.079000004					
4	1	0	0	0	0	0	1	0	0.057999998	0.086000003	0.025	0.079000004					
4	0	0	0	1	0	0	0	1	0.115	0.086000003	0.061000001	0.063000001					
4	0	1	0	0	0	0	0	0	0.11	0.018999999	0.054000001	0.079000004					
5	1	0	0	0	0	0	0	0	0.103	0.097999997	0.048999999	0.079000004					
5	1	0	0	0	0	0	0	0	0.103	0.097999997	0.048999999	0.079000004					
5	1	0	0	0	0	0	0	0	0.103	0.097999997	0.048999999	0.079000004					
5	0	1	0	0	0	0	0	0	0.108	0.086000003	0.054000001	0.079000004					
5	0	1	0	0	0	0	0	0	0.108	0.086000003	0.054000001	0.079000004					
5	0	1	0	0	0	0	0	0	0.108	0.086000003	0.054000001	0.079000004					
5	1	0	0	0	0	0	0	0	0.108	0.086000003	0.054000001	0.079000004					
5	1	0	0	0	0	0	0	0	0.108	0.086000003	0.054000001	0.079000004					
5	0	1	0	0	0	0	0	0	0.108	0.086000003	0.054000001	0.079000004					
5	0	1	0	0	0	0	0	0	0.108	0.086000003	0.054000001	0.079000004					
5	0	1	0	0	0	0	0	0	0.108	0.086000003	0.025	0.079000004					
5	0	1	0	0	0	0	0	0	0.108	0.086000003	0.025	0.079000004					
5	0	1	0	0	0	0	0	0	0.122	0.086000003	0.050000001	0.086000003					
5	1	0	0	0	0	0	0	0	0.125	0.086000003	0.050000001	0.086000003					
6	0	0	0	1	0	0	0	1	0.115	0.086000003	0.061000001	0.074000001					
6	0	0	0	1	0	0	0	1	0.115	0.086000003	0.061000001	0.074000001					
6	0	0	0	1	0	0	0	0	0.108	0.068999998	0.061000001	0.086000003					
6	0	0	0	1	0	0	0	0	0.108	0.068999998	0.061000001	0.086000003					
6	0	0	0	1	0	0	0	0	0.115	0.050999999	0.066	0.086000003					
6	0	0	0	1	0	0	0	0	0.115	0.050999999	0.066	0.086000003					
6	0	0	0	1	0	0	0	0	0.115	0.081	0.066	0.081					
6	0	0	0	1	0	0	0	0	0.115	0.081	0.066	0.081					
6	0	0	0	1	0	0	0	0	0.115	0.081	0.061000001	0.081					
6	0	0	0	1	0	0	0	0	0.115	0.081	0.061000001	0.081					
6	1	0	0	0	0	0	0	0	0.112	0.081	0.061000001	0.081					
6	1	0	0	0	0	0	0	0	0.112	0.081	0.061000001	0.081					
6	1	0	0	0	0	0	0	0	0.122	0.086000003	0.061000001	0.086000003					
6	1	0	0	0	0	0	0	0	0.122	0.086000003	0.061000001	0.086000003					
6	1	0	0	0	0	0	0	0	0.122	0.086000003	0.061000001	0.086000003					
6	1	0	0	0	0	0	0	0	0.122	0.086000003	0.061000001	0.086000003					
6	1	0	0	0	0	0	0	0	0.122	0.086000003	0.061000001	0.086000003					
6	1	0	0	0	0	0	0	0	0.122	0.086000003	0.061000001	0.086000003					
6	1	0	0	0	0	0	0	0	0.122	0.086000003	0.061000001	0.086000003					
7	0	1	0	0	0	0	0	0	0.11	0.074000001	0.061000001	0.081					
7	0	1	0	0	0	0	0	0	0.11	0.074000001	0.061000001	0.081					
7	0	1	0	0	0	0	0	0	0.103	0.081	0.066	0.081					
7	0	1	0	0	0	0	0	0	0.103	0.081	0.066	0.079000004					
7	0	1	0	0	0	0	0	0	0.103	0.081	0.066	0.079000004					
7	0	1	0	0	0	0	0	0	0.103	0.081	0.066	0.079000004					
7	0	1	0	0	0	0	0	0	0.125	0.081	0.066	0.079000004					
7	0	1	0	0	0	0	0	0	0.125	0.081	0.066	0.079000004					
7	1	0	0	0	0	0	0	0	0.02	0.097999997	0.048999999	0.079000004					
7	0	1	0	0	0	0	0	0	0.103	0.081	0.048999999	0.079000004					
7	0	1	0	0	0	1	0	0	0.103	0.061000001	0.048999999	0.079000004					
7	1	0	0	0	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
7	1	0	0	0	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
7	0	1	0	0	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
7	0	1	0	0	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
7	0	1	0	0	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
7	1	0	0	0	0	0	0	0	0.108	0.081	0.050000001	0.079000004					
7	0	1	0	0	0	0	0	0	0.115	0.081	0.043000001	0.079000004					
7	0	1	0	0	0	0	0	0	0.108	0.063000001	0.050000001	0.079000004					
7	1	0	0	0	0	0	0	0	0.108	0.050999999	0.050000001	0.079000004					
7	1	0	0	0	0	0	0	0	0.108	0.046999998	0.050000001	0.079000004					
8	0	1	0	0	0	0	0	0	0.103	0.074000001	0.061000001	0.081					
8	0	1	0	0	0	0	0	0	0.103	0.074000001	0.061000001	0.081					
8	0	1	0	0	0	0	0	0	0.103	0.074000001	0.061000001	0.081					
8	0	1	0	0	0	0	0	0	0.103	0.074000001	0.061000001	0.081					
8	0	1	0	0	0	0	0	0	0.125	0.081	0.066	0.079000004					
8	0	1	0	0	0	0	0	0	0.125	0.081	0.066	0.079000004					
8	0	1	0	0	0	0	0	0	0.103	0.081	0.048999999	0.079000004					
8	0	1	0	0	0	0	0	0	0.103	0.081	0.048999999	0.079000004					
8	0	1	0	0	0	0	0	0	0.103	0.081	0.048999999	0.079000004					
